16.03.2010 13:00;15.1;703.4;39;0.0;0;0;10.0;0;0;
01.08.2016 07:00;28.2;699.7;34;0.0;0;60;9.0;0;0;38.5;
02.08.2016 07:00;28.0;699.4;39;0.0;0;40;10.0;0;0;38.0;
03.08.2016 07:00;25.1;699.0;52;0.0;0;0;10.0;0;0;36.4;
04.08.2016 07:00;25.2;697.6;47;2.6;6;0;7.0;0;0;;
06.08.2016 07:00;25.0;698.8;37;4.0;8;0;10.0;0;0;34.6;
07.08.2016 07:00;24.0;699.7;40;1.5;10;0;10.0;0;0;33.0;
08.08.2016 07:00;22.8;699.7;44;0.0;0;0;10.0;0;0;33.5;
09.08.2016 07:00;22.0;699.3;65;0.0;0;0;10.0;0;0;;
11.08.2016 07:00;22.5;697.1;67;3.0;18;75;10.0;3.0;0;32.4;
12.08.2016 07:00;18.0;700.3;93;0.0;0;10;10.0;11.0;0;27.1;
13.08.2016 07:00;20.0;700.6;79;0.0;0;0;10.0;0;0;30.0;
14.08.2016 07:00;21.3;700.8;72;0.0;0;0;10.0;0;0;;
16.08.2016 07:00;24.2;699.0;47;2.8;8;0;10.0;0;0;37.0;
17.08.2016 07:00;23.6;697.3;55;0.0;0;50;10.0;;0;34.5;
18.08.2016 07:00;23.2;695.9;50;0.0;0;0;9.0;0;0;35.5;
19.08.2016 07:00;23.0;696.7;51;0.0;0;0;10.0;0;0;;
21.08.2016 07:00;26.8;698.2;46;0.0;0;75;7.0;0;0;38.4;
22.08.2016 07:00;27.4;699.5;37;5.0;12;0;8.0;0;0;34.5;
23.08.2016 07:00;24.0;699.7;54;1.5;4;0;10.0;0;0;33.5;
24.08.2016 07:00;24.0;698.6;54;0.0;0;0;10.0;0;0;;
26.08.2016 07:00;22.3;698.2;49;0.0;0;0;10.0;0;0;32.2;
27.08.2016 07:00;24.4;699.4;42;8.0;6;10;10.0;0;0;33.6;
28.08.2016 07:00;23.0;700.3;45;2.8;4;10;10.0;0;0;36.6;
29.08.2016 07:00;21.3;700.3;42;3.8;6;0;10.0;0;0;;
31.08.2016 07:00;24.4;698.2;44;0.0;0;50;8.0;0;0;37.0;
01.09.2016 07:00;24.2;699.8;47;6.0;4;50;10.0;0;0;36.0;
02.09.2016 07:00;24.3;700.3;45;4.5;8;75;8.0;0;0;33.5;
03.09.2016 07:00;23.6;700.3;76;2.8;4;90;8.0;0.2;0;35.0;
04.09.2016 07:00;20.4;700.5;63;0.0;0;10;10.0;0;0;33.5;
05.09.2016 07:00;21.1;701.3;50;1.0;4;10;10.0;0;0;35.0;
06.09.2016 07:00;21.0;699.4;44;0.0;0;10;10.0;0;0;36.7;
07.09.2016 07:00;22.5;697.2;44;4.6;10;10;10.0;0;0;33.5;
08.09.2016 07:00;20.0;696.8;53;0.0;0;0;10.0;0;0;36.5;
09.09.2016 07:00;22.3;697.3;53;1.7;8;25;10.0;0;0;36.2;
10.09.2016 07:00;20.4;697.2;53;0.0;0;10;10.0;0;0;35.5;
11.09.2016 07:00;23.0;696.5;57;0.0;0;10;10.0;0;0;34.0;
12.09.2016 07:00;21.8;697.9;55;1.5;8;50;10.0;0;0;30.3;
13.09.2016 07:00;19.5;697.7;86;0.0;0;40;10.0;3.0;0;33.8;
14.09.2016 07:00;23.3;695.8;61;1.0;6;90;10.0;0;0;34.5;
15.09.2016 07:00;19.8;696.1;59;5.0;10;25;10.0;0.3;0;30.5;
16.09.2016 07:00;19.0;697.5;58;0.0;0;0;10.0;0;0;30.7;
17.09.2016 07:00;16.5;698.8;56;0.0;0;0;10.0;0;0;31.1;
18.09.2016 07:00;20.5;696.9;54;1.5;6;40;10.0;0;0;32.5;
19.09.2016 07:00;19.5;698.7;65;4.0;12;50;10.0;0;0;29.8;
20.09.2016 07:00;20.0;697.6;44;0.0;0;90;10.0;0;0;27.6;
21.09.2016 07:00;17.4;698.3;63;0.0;0;0;10.0;0;0;28.5;
22.09.2016 07:00;17.5;699.5;50;0.0;0;75;10.0;0;0;28.5;
23.09.2016 07:00;14.3;701.0;91;0.0;0;10;10.0;1.0;0;28.2;
24.09.2016 07:00;19.5;700.6;69;1.5;8;10;10.0;0;0;28.9;
25.09.2016 07:00;15.1;699.1;91;0.0;0;25;10.0;9.0;0;27.3;
26.09.2016 07:00;15.0;699.5;90;0.0;0;25;10.0;0;0;26.2;
27.09.2016 07:00;15.8;699.7;92;0.0;0;60;10.0;5.0;0;25.0;
28.09.2016 07:00;16.2;700.8;88;1.5;10;75;8.0;0;0;13.6;;
30.09.2016 07:00;16.3;698.6;92;1.0;14;100;8.0;1.0;0;20.0;
01.10.2016 07:00;16.0;696.4;94;0.0;0;10;10.0;5.0;0;22.5;
02.10.2016 07:00;16.0;697.6;94;0.0;0;25;6.0;0;0;
03.10.2016 07:00;17.0;699.3;90;0.0;0;0;7.0;0;0;28.5;
04.10.2016 07:00;17.0;699.5;84;0.0;0;0;8.0;0;0;29.0;
05.10.2016 07:00;21.2;698.1;73;5.0;6;60;8.0;;0;29.7;
06.10.2016 07:00;19.2;696.0;71;1.5;8;50;10.0;0;0;26.5;
07.10.2016 07:00;17.4;696.4;84;0.0;0;0;10.0;0;0;30.8;
08.10.2016 07:00;18.4;698.2;71;0.0;0;25;10.0;0;0;30.3;
09.10.2016 07:00;20.0;698.3;66;1.5;14;60;10.0;;0;27.5;
10.10.2016 07:00;16.0;697.6;90;0.0;0;10;10.0;3.0;0;26.4;
11.10.2016 07:00;13.6;697.3;87;0.0;0;10;10.0;0;0;26.7;
12.10.2016 07:00;15.7;693.9;76;0.0;0;25;10.0;0;0;25.6;
13.10.2016 07:00;15.8;690.1;69;1.0;4;40;7.0;0;0;29.8;
14.10.2016 07:00;14.6;691.9;66;0.0;0;60;10.0;0;0;23.2;
15.10.2016 07:00;11.3;696.6;81;0.0;0;10;10.0;0;0;24.9;
16.10.2016 07:00;12.3;699.4;75;0.0;0;25;10.0;0;0;25.8;
17.10.2016 07:00;12.2;702.0;80;0.0;0;25;10.0;0;0;25.7;
18.10.2016 07:00;12.0;701.5;77;0.0;0;25;10.0;0;0;27.6;
19.10.2016 07:00;13.9;700.6;64;0.0;0;40;10.0;0;0;27.2;
20.10.2016 07:00;14.6;697.9;68;0.0;0;50;10.0;0;0;26.5;
21.10.2016 07:00;16.7;695.9;79;0.0;0;75;10.0;0;0;24.6;
22.10.2016 07:00;15.2;696.4;87;0.0;0;25;10.0;1.0;0;27.6;
23.10.2016 07:00;14.3;695.6;78;0.0;0;25;10.0;0;0;29.2;
24.10.2016 07:00;15.8;697.6;63;0.0;0;75;10.0;0;0;28.4;
25.10.2016 07:00;17.0;700.6;41;1.5;12;25;10.0;0;0;29.3;
26.10.2016 07:00;14.4;702.8;63;0.0;0;40;10.0;0;0;30.2;
27.10.2016 07:00;14.3;701.5;66;0.0;0;40;10.0;0;0;31.4;
28.10.2016 07:00;16.0;702.9;45;4.0;14;10;10.0;0;0;23.0;
29.10.2016 07:00;11.9;703.2;56;5.0;4;0;10.0;0;0;20.0;
30.10.2016 07:00;11.2;700.6;74;0.0;0;10;10.0;0;0;20.2;
31.10.2016 07:00;7.3;700.0;74;0.0;0;0;10.0;0;0;20.8;
01.11.2016 07:00;8.6;702.0;75;0.0;0;0;10.0;0;0;21.7;
02.11.2016 07:00;9.2;701.8;72;0.0;0;40;10.0;0;0;23.6;
03.11.2016 07:00;10.9;700.0;55;2.8;4;10;10.0;0;0;25.7;
04.11.2016 07:00;10.0;701.2;62;2.0;4;10;10.0;0;0;24.4;
05.11.2016 07:00;12.4;700.1;50;2.0;6;90;10.0;0;0;24.2;
06.11.2016 07:00;13.5;696.0;44;2.0;6;50;10.0;0;0;25.2;
07.11.2016 07:00;15.7;692.4;65;2.6;4;90;10.0;0;0;18.8;
08.11.2016 07:00;8.5;695.2;56;2.0;16;40;10.0;14.0;0;11.5;
09.11.2016 07:00;6.6;702.3;69;2.0;16;10;10.0;0;0;15.6;
10.11.2016 07:00;8.8;701.7;62;0.0;0;50;10.0;0;0;18.0;
11.11.2016 07:00;7.0;701.5;93;0.0;0;25;10.0;0;0;17.3;
12.11.2016 07:00;5.6;701.0;91;0.0;0;10;10.0;0;0;18.2;
13.11.2016 07:00;4.0;701.3;92;0.0;0;10;10.0;0;0;16.6;
14.11.2016 07:00;6.5;700.1;86;0.0;0;60;10.0;0;0;18.5;
15.11.2016 07:00;9.0;697.1;81;4.0;4;10;10.0;0;0;17.5;
16.11.2016 07:00;8.8;697.3;82;0.0;0;50;10.0;0;0;16.5;
17.11.2016 07:00;10.7;696.4;74;4.6;6;60;10.0;;0;16.7;
18.11.2016 07:00;10.4;696.4;77;4.0;8;25;10.0;0;0;18.0;
19.11.2016 07:00;7.0;696.4;87;0.0;0;10;10.0;0;0;19.5;
20.11.2016 07:00;4.5;696.7;81;0.0;0;10;10.0;0;0;20.2;
21.11.2016 07:00;4.6;696.4;79;0.0;0;25;10.0;0;0;19.9;
22.11.2016 07:00;9.0;695.2;75;0.0;0;25;10.0;0;0;19.9;
23.11.2016 07:00;10.0;691.8;59;3.7;18;10;10.0;0;0;19.3;
24.11.2016 07:00;7.1;693.2;72;0.0;0;10;10.0;0;0;16.6;
25.11.2016 07:00;2.6;696.3;80;0.0;0;10;10.0;0;0;16.4;
26.11.2016 07:00;3.0;695.5;67;4.5;4;0;10.0;0;0;16.5;
27.11.2016 07:00;6.3;693.6;73;0.0;0;60;10.0;0;0;13.4;
28.11.2016 07:00;9.0;691.3;69;8.0;8;75;10.0;0;0;15.2;
29.11.2016 07:00;8.5;696.7;89;6.0;10;40;10.0;0;0;15.2;
30.11.2016 07:00;4.6;703.2;83;0.0;0;10;10.0;0;0;15.7;
01.12.2016 07:00;6.4;705.3;88;0.0;0;90;10.0;0;0;12.3;
